"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2014 HL199)","3","26.8","7.6 - 34","9","8.953, 450","11.966, 186","432810","none","none","none","bK14HJ9L"
"(2018 FT3)","3","26.8","7.6 - 34","7","7.372, 194","11.879, 90","432504","? 2024-02 [21.2] ?","none","none","bK18F03T"
"(2005 LC)","8","26.8","7.6 - 34","7","6.153, 386","11.875, 58","432359","? 2040-05 [21.2] ?","none","none","bK05L00C"
"(2009 UD)","13","27.2","6.3 - 28","5","5.275, 370","11.885, 74","431711","2027-10 [23.4]","none","none","bK09U00D"
"(2018 CU14)","5","27.6","5.3 - 23","7","5.774, 330","11.904, 74","431112","none","none","none","bK18C14U"
"(2019 AR13)","11","24.2","26 - 114","3","6.591, 442","11.750, 146","430866","2020-01 [23.1]","none","none","bK19A13R"
"(2009 TP)","10","23.6","33 - 148","6","6.131, 370","11.835, 154","429399","2033-10 [22.3]","none","none","bK09T00P"
"(2017 JB2)","5","29.1","2.6 - 12","4","4.023, 370","10.760, 18","427588","none","none","none","bK17J02B"
"(2017 BY32)","4","26.3","10 - 43","6","6.242, 362","11.995, 74","426400","? 2023-07 [21.7] ?","none","none","bK17B32Y"
"(2019 AT6)","3","27.7","5.1 - 23","6","4.973, 370","11.829, 98","426312","none","none","none","bK19A06T"
"(2011 AU4)","8","25.9","11 - 51","7","5.256, 354","11.725, 58","425117","? 2031-05 [23.1] ?","none","none","bK11A04U"
"(2017 KU34)","12","23.6","33 - 148","2","6.546, 394","11.952, 130","424790","2019-11 [21.5]","2020-12 [68]","none","bK17K34U"
"(2018 FH1)","6","26.6","8.3 - 37","4","5.903, 354","11.901, 106","423950","2028-03 [20.0]","2028-03 [76]","none","bK18F01H"
"(2016 JF38)","7","28.3","3.8 - 17","9","6.526, 450","11.787, 50","419451","none","none","none","bK16J38F"
"(2016 LC9)","4","27.0","6.9 - 31","6","5.883, 362","11.604, 50","419348","2026-06 [23.9]","none","none","bK16L09C"
"(2012 DH54)","18","27.5","5.5 - 25","2","5.970, 338","11.932, 114","414623","2031-01 [23.9]","none","none","bK12D54H"
"(2019 JU5)","10","24.0","28 - 123","2","6.359, 362","11.717, 138","414237","2019-07 [23.8]","2029-04 [310]","none","bK19J05U"
"(2014 KD45)","6","27.8","4.8 - 21","7","6.212, 410","11.866, 42","411885","? 2040-03 [22.3] ?","none","none","bK14K45D"
"(2019 AP8)","12","24.5","22 - 98","2","6.555, 410","11.934, 122","411279","2024-03 [23.2]","none","none","bK19A08P"
"(2018 EL4)","14","25.4","14 - 65","5","5.648, 370","11.964, 130","405300","2028-06 [23.9]","none","none","bK18E04L"
"(2019 GV5)","1","29.4","2.3 - 10","5","5.440, 354","11.221, 42","403690","none","none","none","bK19G05V"
"(2017 UJ2)","2","30.9","1.1 - 5.1","6","5.334, 362","11.983, 90","400374","none","none","none","bK17U02J"
"(2012 EC)","41","23.3","38 - 170","0","5.871, 434","11.083, 42","399402","2022-03 [24.0]","2038-06 [930]","2038-06 [270]","bK12E00C"
"(2017 RP2)","16","23.8","30 - 135","4","6.622, 418","11.828, 74","398147","2023-09 [23.8]","none","none","bK17R02P"
"(2017 BZ6)","13","26.1","10 - 47","4","5.928, 362","11.923, 66","396463","2025-06 [23.9]","none","none","bK17B06Z"
"(2016 JJ38)","3","27.2","6.3 - 28","9","7.204, 370","11.669, 170","396337","? 2040-03 [22.3] ?","none","none","bK16J38J"
"(2019 FY1)","4","28.2","4.0 - 18","7","5.572, 346","11.600, 42","394425","none","none","none","bK19F01Y"
"(2007 BB)","7","27.8","4.8 - 21","7","5.963, 338","11.986, 90","392497","none","none","none","bK07B00B"
"(2018 RQ1)","13","24.2","25 - 112","5","6.232, 282","11.481, 34","389111","2032-07 [20.2]","2032-08 [43]","2032-09 [43]","bK18R01Q"
"(2016 ST2)","10","24.8","19 - 85","5","6.676, 442","11.984, 106","388220","2022-01 [22.7]","none","none","bK16S02T"
"(2016 TM56)","22","26.9","7.3 - 32","5","5.237, 338","11.184, 42","387909","none","none","none","bK16T56M"
"(2014 YN)","23","25.7","13 - 56","5","6.002, 426","11.127, 34","387873","2030-12 [22.1]","2030-12 [47]","2030-11 [880]","bK14Y00N"
"(2003 WT153)","9","28.0","4.4 - 20","6","6.073, 442","11.910, 74","387833","? 2030-11 [19.9] ?","none","none","bK03WF3T"
"(2019 NR3)","2","26.3","10 - 44","6","5.127, 362","11.998, 98","387353","2019-07 [21.9]","none","none","bK19N03R"
"(2005 UG5)","9","24.3","24 - 107","0","6.857, 418","11.616, 122","384880","2019-07 [22.3]","none","none","bK05U05G"
"(2013 TG6)","11","26.6","8.3 - 37","6","5.577, 354","11.728, 58","384867","? 2023-10 [18.4] ?","none","none","bK13T06G"
"(2018 KR)","7","26.4","9.1 - 41","7","6.375, 314","11.819, 98","384556","? 2023-05 [20.1] ?","none","none","bK18K00R"
"(2017 SA20)","2","28.2","4.0 - 18","7","5.996, 346","11.988, 162","381306","? 2024-03 [21.4] ?","none","none","bK17S20A"
"(2009 UY19)","25","23.4","36 - 163","2","5.152, 370","11.976, 90","380974","2037-08 [18.6]","2038-10 [52]","2039-04 [29]","bK09U19Y"
"(2017 QO1)","2","27.0","6.9 - 31","7","6.601, 306","11.836, 66","376129","? 2034-07 [20.9] ?","none","none","bK17Q01O"
"(2018 TA2)","2","27.0","6.9 - 31","5","6.076, 362","11.933, 146","375682","none","none","none","bK18T02A"
"(2012 FS35)","7","30.2","1.6 - 7.1","5","5.977, 346","11.889, 154","372782","none","none","none","bK12F35S"
"(2012 PB20)","16","24.9","18 - 81","4","5.100, 362","11.562, 50","371436","2024-11 [21.6]","2025-02 [6600]","2025-02 [690]","bK12P20B"
"(2015 PL57)","13","25.7","13 - 56","4","6.374, 306","11.900, 50","366404","2021-10 [23.9]","2034-03 [19]","none","bK15P57L"
"(2015 XX129)","4","26.6","8.3 - 37","7","5.081, 362","11.961, 74","366117","? 2032-05 [23.8] ?","none","none","bK15XC9X"
"(2017 FZ2)","8","26.6","8.3 - 37","1","7.707, 434","11.993, 282","360360","2030-11 [24.0]","2032-10 [31]","none","bK17F02Z"
"(2005 VN5)","10","27.0","6.9 - 31","5","6.574, 370","11.971, 194","355686","? 2038-07 [23.6] ?","none","none","bK05V05N"
"(2007 RO17)","7","25.8","12 - 54","7","7.055, 370","11.948, 122","352025","? 2032-08 [21.3] ?","none","none","bK07R17O"
"(2016 SX1)","12","28.6","3.3 - 15","5","6.013, 394","11.529, 26","351240","none","none","none","bK16S01X"
"(2018 WA1)","1","30.1","1.7 - 7.4","6","5.963, 402","11.872, 26","350366","none","none","none","bK18W01A"
"(2015 VO105)","29","24.1","26 - 118","2","5.677, 362","11.871, 98","349765","2030-02 [20.8]","2030-06 [15]","none","bK15VA5O"
"(2005 TG50)","18","24.8","19 - 85","0","6.449, 338","11.880, 162","349334","2021-09 [22.3]","2021-11 [11]","none","bK05T50G"
"(2013 XY20)","16","25.5","14 - 62","5","6.507, 394","11.774, 58","348967","2019-09 [20.8]","2019-12 [52]","none","bK13X20Y"
"(2016 AF2)","7","27.9","4.6 - 20","6","6.830, 330","11.772, 130","348208","? 2021-01 [20.9] ?","none","none","bK16A02F"
