"Object","Orbit ID","H (mag)","Estimated Diameter (m)","OCC","Min. delta-V [delta-V, dur.] (km/s), (d)","Min. Duration [delta-V, dur.] (km/s), (d)","Viable Trajectories","Next Optical Opportunity (yyyy-mm [Vp])","Next Arecibo Radar Opportunity (yyyy-mm [SNR])","Next Goldstone Radar Opportunity (yyyy-mm [SNR])",""
"(2015 FQ33)","6","26.7","8.0 - 36","8","10.174, 370","11.964, 250","1697","none","none","none","bK15F33Q"
"(2019 JS7)","1","25.8","12 - 53","8","10.099, 370","11.955, 218","1694","none","none","none","bK19J07S"
"(2016 JH29)","7","24.9","18 - 81","8","10.350, 402","11.713, 146","1692","? 2025-01 [21.3] ?","none","none","bK16J29H"
"(2017 SR10)","4","26.2","10 - 45","7","10.248, 338","11.976, 210","1684","? 2040-05 [22.2] ?","none","none","bK17S10R"
"(2016 YK4)","4","26.1","10 - 47","7","10.123, 346","11.928, 306","1676","? 2029-12 [22.3] ?","none","none","bK16Y04K"
"(2016 EQ1)","16","26.3","10 - 43","7","9.912, 410","11.785, 114","1662","none","none","none","bK16E01Q"
"(2010 MY1)","12","23.9","29 - 129","7","9.766, 362","11.935, 314","1654","2022-07 [23.8]","none","none","bK10M01Y"
"(2017 SN16)","17","23.3","38 - 170","1","10.750, 370","11.995, 346","1642","2019-07 [21.5]","none","none","bK17S16N"
"(2011 YX15)","9","25.5","14 - 62","6","9.924, 370","11.935, 330","1618","none","none","none","bK11Y15X"
"(2006 BR98)","9","26.7","8.0 - 36","6","9.607, 362","11.852, 314","1617","none","none","none","bK06B98R"
"(2004 BW18)","22","22.5","55 - 246","5","10.218, 402","11.817, 154","1616","2019-09 [22.3]","none","none","bK04B18W"
"(2012 DO8)","21","22.4","58 - 258","4","11.121, 450","11.997, 386","1597","2021-12 [22.8]","none","none","bK12D08O"
"(2018 GD5)","1","27.8","4.8 - 21","7","9.205, 362","11.644, 106","1587","none","none","none","bK18G05D"
"(2014 MD42)","5","24.5","22 - 98","8","11.026, 234","11.977, 210","1582","? 2022-06 [23.6] ?","none","none","bK14M42D"
"(2019 AF13)","3","23.9","29 - 128","5","11.261, 426","11.994, 346","1580","2020-02 [22.1]","none","none","bK19A13F"
"(2016 ER28)","14","25.0","17 - 78","5","10.571, 378","11.952, 210","1579","? 2039-01 [22.3] ?","none","none","bK16E28R"
"4660 Nereus (1982 DB)","105","18.2","398 - 1782","0","10.523, 426","11.927, 146","1575","2019-07 [19.1]","2021-11 [870]","2021-12 [2700]","a0004660"
"(2019 BZ4)","2","26.2","10 - 45","7","10.318, 378","11.701, 98","1575","? 2021-01 [19.1] ?","none","none","bK19B04Z"
"(2012 XA)","16","24.8","19 - 85","7","10.757, 378","11.965, 154","1565","? 2020-11 [20.2] ?","none","none","bK12X00A"
"(2019 GP5)","12","24.7","20 - 90","5","10.831, 378","11.984, 178","1565","2019-07 [23.1]","none","none","bK19G05P"
"(2019 AP11)","12","25.2","16 - 72","2","10.793, 386","11.811, 338","1563","2029-12 [20.8]","2030-01 [34]","none","bK19A11P"
"(2011 TP6)","15","25.5","14 - 62","5","10.555, 450","11.975, 322","1563","none","none","none","bK11T06P"
"(2017 XR61)","6","23.1","42 - 187","4","9.758, 362","11.646, 322","1559","2021-09 [23.9]","2040-12 [20]","none","bK17X61R"
"(2013 CE129)","19","22.1","66 - 296","1","10.454, 322","11.856, 298","1555","2021-10 [23.0]","none","none","bK13CC9E"
"(2019 JJ)","6","27.8","4.8 - 21","7","9.938, 378","11.884, 346","1554","none","none","none","bK19J00J"
"(2019 FH1)","13","25.3","15 - 67","6","10.471, 386","11.989, 258","1552","? 2026-03 [21.1] ?","none","none","bK19F01H"
"(2013 EU9)","48","21.6","83 - 372","1","11.032, 402","11.925, 330","1547","2020-12 [20.7]","none","none","bK13E09U"
"(2010 MS1)","19","21.9","73 - 324","0","10.954, 434","11.973, 370","1529","2019-07 [19.9]","none","none","bK10M01S"
"(2007 CX50)","12","24.7","20 - 89","7","9.109, 370","11.994, 290","1522","none","none","none","bK07C50X"
"(2017 SM2)","2","27.3","6.0 - 27","6","9.752, 354","11.889, 298","1520","none","none","none","bK17S02M"
"(2017 WO1)","3","24.1","26 - 118","7","10.558, 370","11.930, 170","1513","? 2023-03 [23.8] ?","none","none","bK17W01O"
"(2019 DP)","23","25.0","18 - 80","3","10.374, 378","11.992, 346","1510","2027-07 [18.3]","2027-08 [8.2e5]","2027-08 [1.6e4]","bK19D00P"
"(2014 WM368)","6","23.3","38 - 170","3","10.476, 370","11.891, 338","1505","2019-07 [22.8]","none","none","bK14Wa8M"
"(2018 MC7)","17","26.2","10 - 45","4","9.406, 378","11.673, 82","1504","none","none","none","bK18M07C"
"(2018 EJ4)","64","21.4","91 - 408","0","9.120, 362","11.720, 130","1500","2021-01 [23.7]","none","none","bK18E04J"
"(2013 TN127)","7","26.2","10 - 45","5","9.324, 354","11.939, 202","1497","? 2032-10 [23.3] ?","none","none","bK13TC7N"
"490581 (2009 WZ104)","58","20.0","174 - 778","1","9.727, 178","11.896, 130","1495","2020-11 [21.1]","2024-11 [18]","2028-12 [870]","a0490581"
"(2010 GH7)","15","27.3","6.0 - 27","7","9.765, 378","11.767, 82","1495","none","none","none","bK10G07H"
"(2010 VC140)","8","27.9","4.6 - 20","7","10.377, 426","11.979, 162","1494","none","none","none","bK10VE0C"
"410649 (2008 SO)","55","20.8","120 - 538","0","10.420, 370","11.982, 154","1491","2019-10 [22.6]","2031-05 [140]","none","a0410649"
"(2005 RZ2)","15","23.2","40 - 178","0","9.700, 378","11.891, 186","1490","2019-07 [21.2]","none","none","bK05R02Z"
"(2019 EH)","9","24.9","18 - 80","6","9.528, 386","11.703, 74","1486","none","none","none","bK19E00H"
"(2018 RY7)","16","24.4","23 - 103","4","10.955, 370","11.993, 346","1484","2019-07 [22.2]","none","none","bK18R07Y"
"(2016 VB1)","4","28.6","3.3 - 15","6","9.437, 362","11.376, 58","1482","none","none","none","bK16V01B"
"(2017 BD29)","41","21.7","80 - 356","2","11.129, 386","11.978, 354","1472","2020-03 [23.9]","2028-05 [39]","none","bK17B29D"
"(2012 AF3)","6","24.6","21 - 94","7","9.859, 362","11.879, 338","1470","? 2023-12 [23.8] ?","none","none","bK12A03F"
"(2012 FV23)","7","25.4","14 - 65","7","9.964, 306","11.912, 130","1468","? 2039-01 [24.0] ?","none","none","bK12F23V"
"(2013 LB)","15","22.8","48 - 214","2","10.521, 442","11.954, 386","1452","2019-07 [22.7]","none","none","bK13L00B"
"(2016 GZ220)","11","26.2","10 - 45","7","9.706, 354","11.972, 314","1444","? 2027-03 [21.6] ?","none","none","bK16GM0Z"
"226554 (2003 WR21)","78","19.5","219 - 979","0","10.515, 370","11.991, 338","1425","2022-06 [20.9]","2022-12 [220]","2023-01 [32]","a0226554"
"(2004 YC)","8","25.6","13 - 59","6","11.065, 338","11.968, 306","1422","? 2021-12 [20.5] ?","none","none","bK04Y00C"
"(2017 DL34)","10","25.9","11 - 51","7","10.068, 362","11.917, 130","1417","none","none","none","bK17D34L"
"(2019 DR)","8","25.5","14 - 61","7","10.122, 354","11.980, 146","1412","none","none","none","bK19D00R"
"(2019 KN5)","1","27.2","6.4 - 29","8","9.954, 314","11.813, 98","1412","? 2021-05 [23.2] ?","none","none","bK19K05N"
"523814 (2008 WN2)","62","20.7","126 - 564","0","10.329, 354","11.921, 178","1407","2019-07 [23.3]","none","none","a0523814"
"(2012 BO1)","4","24.9","18 - 81","9","10.704, 378","11.983, 330","1399","? 2023-01 [23.2] ?","none","none","bK12B01O"
"(2012 EN5)","6","27.3","6.0 - 27","6","10.789, 434","11.884, 410","1390","none","none","none","bK12E05N"
"(2017 RO16)","5","27.8","4.8 - 21","7","10.371, 306","11.966, 194","1387","none","none","none","bK17R16O"
"(2015 TC179)","12","26.0","11 - 49","7","9.979, 386","11.975, 114","1384","none","none","none","bK15TH9C"
"(2013 WY)","10","26.3","10 - 43","7","9.927, 394","11.759, 90","1376","? 2028-09 [20.9] ?","none","none","bK13W00Y"
"(2002 AO11)","10","22.7","50 - 224","2","10.402, 370","11.984, 338","1375","2022-09 [22.3]","2038-01 [97]","none","bK02A11O"
"(2016 JG12)","11","22.5","55 - 246","0","10.796, 346","11.843, 298","1371","2021-08 [18.5]","2021-11 [740]","2021-11 [21]","bK16J12G"
"(2013 BS15)","6","24.9","18 - 81","8","9.869, 370","11.982, 322","1369","? 2027-07 [23.1] ?","none","none","bK13B15S"
"(2015 UL52)","10","24.9","18 - 81","7","10.013, 362","11.784, 138","1356","? 2033-08 [19.2] ?","none","none","bK15U52L"
"(2016 NK22)","4","29.0","2.8 - 12","7","10.000, 346","11.955, 146","1352","? 2027-06 [23.8] ?","none","none","bK16N22K"
"528859 (2009 CR5)","23","22.1","66 - 296","0","10.759, 402","11.991, 362","1348","2019-09 [21.1]","2029-09 [58]","none","a0528859"
"(2011 FV9)","10","23.2","40 - 178","7","10.654, 426","11.979, 370","1343","? 2022-05 [22.8] ?","none","none","bK11F09V"
"482566 (2012 WK4)","33","21.5","87 - 390","1","10.873, 410","11.949, 354","1341","2020-01 [20.4]","2024-05 [17]","none","a0482566"
"(2015 KF158)","3","27.3","6.0 - 27","9","10.702, 394","11.943, 314","1327","none","none","none","bK15KF8F"
"(2012 DL31)","23","22.8","48 - 214","3","11.086, 410","11.968, 362","1315","2025-12 [22.7]","none","none","bK12D31L"
"(2010 UE8)","8","25.0","17 - 78","8","10.805, 394","11.963, 322","1304","? 2024-09 [22.4] ?","none","none","bK10U08E"
"523809 (2007 TV18)","33","23.8","30 - 135","0","10.428, 378","11.882, 346","1300","2025-02 [21.6]","none","none","a0523809"
"(2018 YA)","3","24.3","24 - 107","6","10.129, 362","11.896, 330","1297","2022-06 [22.9]","none","none","bK18Y00A"
"(2017 YV3)","4","25.0","17 - 78","7","10.395, 362","11.647, 154","1295","? 2021-11 [23.1] ?","none","none","bK17Y03V"
"(2015 XE55)","3","26.0","11 - 49","8","10.430, 354","11.781, 306","1294","? 2029-06 [22.7] ?","none","none","bK15X55E"
"(2017 YM6)","12","23.3","38 - 170","3","10.633, 362","11.990, 202","1291","2030-12 [23.4]","none","none","bK17Y06M"
"(2018 PK20)","4","25.9","11 - 51","6","11.015, 378","11.928, 338","1278","? 2034-07 [19.8] ?","none","none","bK18P20K"
"(2017 UT1)","1","27.5","5.5 - 25","7","10.315, 330","11.978, 226","1273","none","none","none","bK17U01T"
"(2015 DC1)","8","24.8","19 - 85","5","10.093, 362","11.997, 226","1267","2020-06 [22.5]","none","none","bK15D01C"
"(2015 FO124)","44","21.3","96 - 428","0","10.588, 354","11.901, 162","1266","2020-04 [21.8]","none","none","bK15FC4O"
"(2015 WN1)","9","26.5","8.7 - 39","7","10.537, 338","11.933, 266","1264","? 2020-11 [14.0] ?","none","none","bK15W01N"
"(2018 XD5)","8","24.7","20 - 89","7","11.130, 354","11.915, 202","1258","2021-12 [23.3]","none","none","bK18X05D"
"(2014 KG39)","6","24.9","18 - 81","6","11.065, 370","11.955, 338","1253","2038-06 [23.8]","none","none","bK14K39G"
"(2008 WS62)","16","25.3","15 - 68","0","10.066, 370","11.921, 322","1247","2028-11 [19.4]","2028-11 [740]","2028-11 [14]","bK08W62S"
"(2017 SN21)","1","26.0","11 - 49","7","9.555, 354","11.917, 162","1243","none","none","none","bK17S21N"
"(2009 UD2)","39","22.2","63 - 282","0","10.341, 370","11.961, 218","1229","2019-09 [23.7]","2033-03 [24]","none","bK09U02D"
"(2007 TA23)","9","24.9","18 - 81","7","10.182, 370","11.950, 186","1214","? 2020-09 [18.7] ?","none","none","bK07T23A"
"(2011 GE3)","13","26.0","11 - 49","7","10.459, 202","11.961, 162","1214","? 2022-03 [20.3] ?","none","none","bK11G03E"
"(2006 XY)","29","24.2","25 - 112","0","9.642, 370","11.842, 74","1205","none","none","none","bK06X00Y"
"(2017 MF)","5","26.6","8.3 - 37","5","10.150, 314","11.985, 106","1201","none","none","none","bK17M00F"
"(2012 RR16)","14","24.5","22 - 98","7","10.545, 450","11.987, 218","1199","? 2025-04 [21.2] ?","none","none","bK12R16R"
"(2009 ET)","6","27.3","6.0 - 27","9","10.423, 386","11.935, 106","1192","none","none","none","bK09E00T"
"(2012 WM28)","6","25.3","15 - 68","7","9.751, 362","11.925, 298","1191","none","none","none","bK12W28M"
"(2012 HN13)","33","22.8","48 - 214","0","10.346, 346","11.862, 202","1174","2022-02 [20.0]","2022-08 [14]","none","bK12H13N"
"(2018 CS1)","2","28.2","4.0 - 18","7","10.603, 362","11.867, 306","1171","none","none","none","bK18C01S"
"(2015 YQ1)","8","28.0","4.4 - 20","6","10.765, 450","11.985, 426","1170","none","none","none","bK15Y01Q"
"(2001 SZ169)","7","25.1","17 - 74","8","10.642, 402","11.940, 202","1167","? 2021-11 [24.0] ?","none","none","bK01SG9Z"
"(2015 PU227)","10","26.7","8.0 - 36","7","10.479, 354","11.949, 306","1164","? 2032-08 [23.0] ?","none","none","bK15PM7U"
"(2018 DD2)","2","27.4","5.8 - 26","8","9.693, 362","11.967, 170","1162","none","none","none","bK18D02D"
"(2018 WX1)","8","24.1","26 - 118","7","10.428, 362","11.943, 338","1161","? 2026-05 [20.4] ?","none","none","bK18W01X"
"(2014 RF11)","13","23.7","32 - 142","4","10.438, 362","11.813, 266","1159","2021-05 [23.6]","none","none","bK14R11F"
"(2009 BO5)","8","26.8","7.6 - 34","7","10.702, 258","11.776, 162","1149","none","none","none","bK09B05O"
"(2018 QX)","4","26.8","7.6 - 34","8","9.840, 362","11.922, 74","1149","none","none","none","bK18Q00X"
"85585 Mjolnir (1998 FG2)","31","21.6","83 - 372","0","10.392, 354","11.927, 322","1148","2019-07 [23.1]","2032-03 [5200]","2032-03 [110]","a0085585"
"(2012 XB)","7","26.0","11 - 49","7","9.785, 362","11.763, 170","1144","? 2033-11 [21.4] ?","none","none","bK12X00B"
"(2018 BJ3)","11","23.0","44 - 195","7","10.886, 362","11.963, 346","1136","2019-09 [24.0]","none","none","bK18B03J"
"(2011 MJ)","10","22.8","48 - 214","8","10.224, 370","11.980, 178","1132","? 2022-09 [23.2] ?","none","none","bK11M00J"
"(2010 FM)","10","27.1","6.6 - 30","7","10.419, 194","11.906, 154","1131","? 2027-03 [20.5] ?","none","none","bK10F00M"
"(2016 GV221)","14","24.9","18 - 81","7","10.594, 354","11.983, 322","1131","? 2034-11 [23.6] ?","none","none","bK16GM1V"
"(2008 GE)","15","23.3","38 - 170","6","10.566, 370","11.824, 154","1122","? 2021-04 [23.1] ?","none","none","bK08G00E"
"(2011 EM40)","8","28.0","4.4 - 20","7","10.441, 442","11.984, 378","1114","none","none","none","bK11E40M"
"(2011 QE23)","12","25.8","12 - 54","7","10.872, 378","11.915, 202","1112","? 2030-09 [23.3] ?","none","none","bK11Q23E"
"(2009 DC1)","12","24.0","28 - 123","6","11.217, 386","11.990, 338","1109","2027-02 [24.0]","none","none","bK09D01C"
"(2019 BH5)","5","25.1","16 - 73","5","10.616, 386","11.919, 242","1109","2023-11 [23.9]","none","none","bK19B05H"
"(2011 BF10)","6","27.4","5.8 - 26","8","10.639, 378","11.756, 162","1098","? 2022-01 [23.6] ?","none","none","bK11B10F"
"(2012 US18)","5","28.6","3.3 - 15","7","10.197, 386","11.965, 338","1095","none","none","none","bK12U18S"
"(2016 CK248)","5","26.8","7.6 - 34","7","10.727, 346","11.965, 298","1095","? 2024-06 [22.2] ?","none","none","bK16CO8K"
"(2010 GP67)","19","22.5","55 - 246","0","9.939, 362","11.988, 178","1089","2023-03 [23.9]","2037-04 [540]","2037-04 [10]","bK10G67P"
"(2014 UD57)","13","25.8","12 - 54","6","11.278, 450","11.888, 274","1088","2022-10 [23.7]","none","none","bK14U57D"
"(2011 WD)","8","26.1","10 - 47","8","10.610, 394","11.858, 314","1078","? 2038-11 [23.9] ?","none","none","bK11W00D"
"(2007 VT83)","6","24.3","24 - 107","9","10.482, 362","11.966, 314","1077","? 2022-04 [21.4] ?","none","none","bK07V83T"
"(2013 FX7)","20","21.6","83 - 372","1","11.162, 338","11.941, 306","1075","2019-11 [22.6]","2030-08 [20]","none","bK13F07X"
"(2015 HW182)","4","25.4","14 - 65","9","10.760, 410","11.943, 218","1073","? 2039-10 [23.6] ?","none","none","bK15HI2W"
"(2018 JP)","3","27.4","5.8 - 26","6","9.578, 362","11.982, 146","1060","? 2021-05 [21.9] ?","none","none","bK18J00P"
"(2019 BO)","4","28.1","4.1 - 19","6","10.264, 330","11.996, 178","1060","none","none","none","bK19B00O"
"(2013 VO11)","6","28.3","3.8 - 17","7","10.365, 386","11.951, 338","1057","? 2021-05 [20.7] ?","none","none","bK13V11O"
"350713 (2001 XP88)","60","20.6","132 - 590","0","10.853, 378","11.960, 194","1056","2020-10 [21.3]","none","none","a0350713"
"437841 (1998 HD14)","53","21.0","110 - 491","0","11.199, 386","11.981, 354","1054","2019-07 [20.6]","2033-04 [660]","2033-04 [13]","a0437841"
"(2017 TT3)","6","25.4","14 - 65","8","10.849, 330","11.941, 242","1052","? 2031-05 [18.4] ?","none","none","bK17T03T"
"(2014 HB197)","3","27.8","4.8 - 21","9","10.215, 346","11.925, 314","1047","? 2039-04 [23.1] ?","none","none","bK14HJ7B"
"(2016 GC1)","10","26.5","8.7 - 39","8","10.838, 314","11.897, 210","1044","? 2023-08 [23.6] ?","none","none","bK16G01C"
"(2016 JR5)","4","25.0","17 - 78","8","10.075, 362","11.989, 306","1042","? 2029-10 [22.8] ?","none","none","bK16J05R"
"(2017 OZ67)","2","27.0","6.9 - 31","9","10.271, 354","11.869, 298","1039","? 2035-07 [22.2] ?","none","none","bK17O67Z"
"(2018 YG4)","1","27.0","6.9 - 31","8","10.538, 354","11.935, 314","1037","? 2037-12 [21.5] ?","none","none","bK18Y04G"
"(2015 LA2)","15","23.1","42 - 187","6","11.278, 450","11.959, 314","1022","2020-03 [19.6]","none","none","bK15L02A"
"(2016 GD)","11","26.4","9.1 - 41","7","10.805, 386","11.945, 138","1011","none","none","none","bK16G00D"
"(2019 BQ1)","5","25.4","15 - 65","7","11.012, 378","11.954, 146","1007","? 2031-11 [23.4] ?","none","none","bK19B01Q"
"(2018 HE2)","1","27.9","4.6 - 20","7","10.339, 330","11.980, 186","1002","none","none","none","bK18H02E"
"(2008 NX)","21","25.1","17 - 74","6","10.406, 450","11.938, 370","1001","none","none","none","bK08N00X"
"(2016 WZ8)","5","28.4","3.6 - 16","7","9.741, 370","11.875, 74","1000","none","none","none","bK16W08Z"
"(2015 YS9)","11","26.0","11 - 49","7","10.301, 338","11.995, 234","993","? 2027-12 [23.3] ?","none","none","bK15Y09S"
"(2017 MK)","8","25.3","15 - 68","7","10.514, 378","11.885, 330","985","? 2033-12 [21.4] ?","none","none","bK17M00K"
"(2018 MJ)","7","26.1","10 - 47","7","10.702, 394","11.976, 362","982","? 2033-06 [22.5] ?","none","none","bK18M00J"
"(2005 YY1)","11","23.1","42 - 187","7","9.904, 370","11.948, 322","976","? 2021-01 [23.9] ?","none","none","bK05Y01Y"
"382875 (2004 KE1)","39","21.7","80 - 356","0","10.868, 450","11.937, 362","965","2019-07 [23.9]","none","none","a0382875"
"(2009 BF58)","14","27.3","6.0 - 27","7","10.565, 322","11.970, 186","959","none","none","none","bK09B58F"
"(2015 XT1)","16","23.3","38 - 170","1","11.255, 370","11.862, 306","954","2021-10 [20.6]","none","none","bK15X01T"
"(2009 UB)","7","25.5","14 - 62","9","11.217, 378","11.938, 290","944","? 2023-05 [23.9] ?","none","none","bK09U00B"
"(2010 XC)","7","28.8","3.0 - 13","9","11.090, 338","11.933, 274","944","none","none","none","bK10X00C"
"(2011 QS49)","13","24.2","25 - 112","7","10.545, 410","11.831, 138","943","? 2035-07 [18.3] ?","none","none","bK11Q49S"
"(2013 ER4)","7","25.0","17 - 78","8","10.306, 362","11.763, 330","929","? 2021-08 [23.6] ?","none","none","bK13E04R"
"(2017 RM16)","1","27.5","5.5 - 25","7","10.605, 362","11.925, 346","929","none","none","none","bK17R16M"
"(2011 CL33)","6","25.9","11 - 51","8","11.035, 450","11.869, 234","925","none","none","none","bK11C33L"
"533990 (2014 QX266)","21","22.2","63 - 282","0","11.330, 418","11.997, 338","920","2019-07 [20.5]","none","none","a0533990"
"(2017 BP30)","6","26.0","11 - 49","7","9.918, 354","11.798, 162","920","none","none","none","bK17B30P"
"487577 (2014 YQ15)","49","21.2","100 - 448","1","11.162, 378","11.911, 338","910","2019-12 [23.2]","2031-12 [94]","none","a0487577"
"(2016 VA18)","4","28.6","3.4 - 15","9","10.097, 386","11.991, 346","908","none","none","none","bK16V18A"
"(2017 HG1)","3","27.5","5.5 - 25","6","9.961, 186","11.939, 122","908","none","none","none","bK17H01G"
"(2017 RP16)","3","27.2","6.3 - 28","7","10.054, 378","11.797, 354","905","none","none","none","bK17R16P"
"(2012 VP6)","8","24.2","25 - 112","5","10.568, 370","11.961, 322","891","2022-05 [23.2]","none","none","bK12V06P"
"(2019 LW4)","1","27.3","6.1 - 27","6","10.562, 362","11.982, 346","891","? 2038-11 [22.3] ?","none","none","bK19L04W"
"(2016 CO195)","7","26.3","10 - 43","7","10.610, 378","11.958, 330","889","? 2029-02 [23.3] ?","none","none","bK16CJ5O"
"(2019 DB)","6","26.1","10 - 47","6","9.838, 362","11.815, 122","889","none","none","none","bK19D00B"
"(2012 DL4)","7","24.9","18 - 81","7","10.671, 370","11.795, 330","888","? 2025-08 [23.9] ?","none","none","bK12D04L"
"(2015 QH3)","10","27.0","6.9 - 31","6","9.790, 354","11.888, 138","883","? 2022-08 [19.5] ?","none","none","bK15Q03H"
"(2016 VU5)","4","27.4","5.8 - 26","7","10.017, 354","11.889, 154","883","none","none","none","bK16V05U"
"(2017 YR3)","7","25.3","15 - 68","6","10.461, 210","11.963, 146","879","? 2038-12 [21.4] ?","none","none","bK17Y03R"
"(2017 FK)","5","27.4","5.8 - 26","6","10.696, 362","11.979, 330","870","? 2024-08 [23.8] ?","none","none","bK17F00K"
"(2017 UP43)","8","26.4","9.1 - 41","7","10.314, 354","11.990, 234","869","none","none","none","bK17U43P"
"(2012 FN35)","7","24.9","18 - 81","9","10.393, 370","11.988, 338","864","? 2030-08 [20.4] ?","none","none","bK12F35N"
"(2017 GS6)","10","24.8","19 - 85","3","11.098, 362","11.725, 178","853","2027-02 [23.8]","none","none","bK17G06S"
"(2003 EM1)","14","24.5","22 - 98","5","10.113, 362","11.779, 178","848","2032-02 [23.6]","none","none","bK03E01M"
